epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,69.1713,0.5708,0.81851,1,0.47017,0.0669509,0.000166076,0.000166076
2,135.756,0.53131,0.78648,1,0.44061,0.0337842,0.000332661,0.000332661
3,201.725,0.47672,0.82918,1,0.41608,0.000617124,0.000498921,0.000498921
4,267.236,0.44959,0.86121,1,0.33679,0.000498902,0.000498902,0.000498902
5,333.04,0.42683,0.87189,1,0.37333,0.000498048,0.000498048,0.000498048
6,399.088,0.37055,0.85943,1,0.40079,0.000496953,0.000496953,0.000496953
7,465.611,0.34863,0.82028,1,0.3962,0.000495616,0.000495616,0.000495616
8,531.828,0.33582,0.79181,1,0.4553,0.000494039,0.000494039,0.000494039
9,597.608,0.36103,0.87189,1,0.3345,0.000492224,0.000492224,0.000492224
10,667.213,0.30647,0.88078,1,0.33357,0.000490173,0.000490173,0.000490173
11,734.905,0.33143,0.83274,1,0.39453,0.000487886,0.000487886,0.000487886
12,810.761,0.2892,0.87722,1,0.36511,0.000485368,0.000485368,0.000485368
13,882.366,0.27822,0.86655,1,0.32311,0.00048262,0.00048262,0.00048262
14,957.859,0.24836,0.87722,1,0.3677,0.000479644,0.000479644,0.000479644
15,1030.82,0.2768,0.88256,1,0.31545,0.000476445,0.000476445,0.000476445
16,1105.58,0.22544,0.8879,1,0.33664,0.000473024,0.000473024,0.000473024
17,1174.98,0.20946,0.88968,1,0.29759,0.000469386,0.000469386,0.000469386
18,1243.71,0.22694,0.86299,1,0.3865,0.000465534,0.000465534,0.000465534
19,1314.72,0.21174,0.8968,1,0.31924,0.000461471,0.000461471,0.000461471
20,1387.78,0.2094,0.88256,1,0.39556,0.000457202,0.000457202,0.000457202
21,1460.85,0.20031,0.90036,1,0.3045,0.000452732,0.000452732,0.000452732
22,1533.85,0.1974,0.88256,1,0.40678,0.000448063,0.000448063,0.000448063
23,1607.14,0.20193,0.8968,1,0.35391,0.000443202,0.000443202,0.000443202
24,1678.97,0.16836,0.89502,1,0.38235,0.000438152,0.000438152,0.000438152
25,1750.37,0.18315,0.88256,1,0.37173,0.00043292,0.00043292,0.00043292
26,1819.87,0.15575,0.89146,1,0.33519,0.000427509,0.000427509,0.000427509
27,1891.2,0.16599,0.89324,1,0.34802,0.000421925,0.000421925,0.000421925
28,1963.6,0.14002,0.89502,1,0.33603,0.000416175,0.000416175,0.000416175
29,2038.65,0.15188,0.88256,1,0.38818,0.000410262,0.000410262,0.000410262
30,2111.6,0.13458,0.89858,1,0.35031,0.000404194,0.000404194,0.000404194
31,2182.37,0.13525,0.90391,1,0.35325,0.000397977,0.000397977,0.000397977
32,2250.31,0.12094,0.8879,1,0.41791,0.000391616,0.000391616,0.000391616
33,2318.51,0.13242,0.89502,1,0.41681,0.000385117,0.000385117,0.000385117
34,2387.51,0.13735,0.89502,1,0.38365,0.000378488,0.000378488,0.000378488
35,2455.34,0.11874,0.88078,1,0.525,0.000371734,0.000371734,0.000371734
36,2522.44,0.11039,0.8879,1,0.3898,0.000364863,0.000364863,0.000364863
37,2589.19,0.09373,0.8879,1,0.45324,0.00035788,0.00035788,0.00035788
38,2656.05,0.12125,0.88612,1,0.39841,0.000350794,0.000350794,0.000350794
39,2722.77,0.11103,0.87722,1,0.43736,0.000343611,0.000343611,0.000343611
40,2789.01,0.09252,0.90214,1,0.43806,0.000336338,0.000336338,0.000336338
41,2855.26,0.10126,0.89146,1,0.42339,0.000328982,0.000328982,0.000328982
42,2924.19,0.08718,0.89324,1,0.40213,0.00032155,0.00032155,0.00032155
43,2990.72,0.09172,0.90214,1,0.46522,0.000314051,0.000314051,0.000314051
44,3057.98,0.07896,0.90391,1,0.42795,0.00030649,0.00030649,0.00030649
45,3124.81,0.09661,0.90747,1,0.46398,0.000298877,0.000298877,0.000298877
46,3191.56,0.07659,0.89858,1,0.56076,0.000291218,0.000291218,0.000291218
47,3258.07,0.06651,0.91103,1,0.45558,0.00028352,0.00028352,0.00028352
48,3324.26,0.0644,0.90747,1,0.54716,0.000275792,0.000275792,0.000275792
49,3392.13,0.07045,0.89502,1,0.40171,0.000268041,0.000268041,0.000268041
50,3458.92,0.04731,0.90569,1,0.4681,0.000260274,0.000260274,0.000260274
51,3525.94,0.05977,0.90569,1,0.47912,0.0002525,0.0002525,0.0002525
52,3592.73,0.04939,0.90214,1,0.50278,0.000244726,0.000244726,0.000244726
53,3660.08,0.05577,0.89858,1,0.46813,0.000236959,0.000236959,0.000236959
54,3726.85,0.06696,0.8968,1,0.53681,0.000229208,0.000229208,0.000229208
55,3794,0.05156,0.90747,1,0.45977,0.00022148,0.00022148,0.00022148
56,3861.19,0.06323,0.90214,1,0.51355,0.000213782,0.000213782,0.000213782
57,3927.89,0.04787,0.89502,1,0.62525,0.000206123,0.000206123,0.000206123
58,3994.84,0.04891,0.90391,1,0.42799,0.00019851,0.00019851,0.00019851
59,4061.66,0.04524,0.89858,1,0.52935,0.000190949,0.000190949,0.000190949
60,4130.61,0.04687,0.89502,1,0.5217,0.00018345,0.00018345,0.00018345
61,4197.63,0.04059,0.90391,1,0.52994,0.000176018,0.000176018,0.000176018
62,4264.46,0.03825,0.90925,1,0.4677,0.000168662,0.000168662,0.000168662
